leaf1	leaf2	leaf3	leaf4
0.00660778	0.0108148	0.00500683	0.0145156	
0.00657266	0.00692147	0.00388608	0.01038	
0.00760624	0.0134685	0.00359334	0.0124184	
0.422678	0.34399	0.336832	0.366539	
0.0198323	0.0301406	0.0118092	0.0162754	
0.0115048	0.00947181	0.0151087	0.00988895	
0.00766784	0.00645278	0.00723438	0.00913316	
0.00686977	0.00445261	0.0129704	0.0153615	
0.015095	0.00401486	0.012067	0.00579036	
0.00394846	0.00370876	0.00547868	0.0155879	
0.00727531	0.0119067	0.00835453	0.00411438	
0.00868716	0.00884923	0.0034518	0.011825	
N/A	N/A	N/A	N/A	
0.0164981	0.0103058	0.00694305	0.00516499	
0.0138595	0.0151269	0.0102796	0.0066366	
0.00928249	0.0118469	0.00699081	0.0162442	
0.209409	0.217548	0.238808	0.122542	
0.0169911	0.0496127	0.0309015	0.0221287	
0.0299443	0.0374616	0.0149632	0.0405132	
0.0152465	0.0163888	0.0409629	0.0218092	
0.186707	0.235129	0.244797	0.275866	
0.00977604	0.011383	0.0100354	0.00909342	
0.0133081	0.00925242	0.00627017	0.0144571	
0.00447363	0.00472989	0.00659098	0.0191741	
0.00485669	0.00306152	0.0034203	0.00755437	
0.00683084	0.00478822	0.0153947	0.00895476	
0.00588359	0.00766993	0.00636074	0.00603824	
0.00529541	0.00422834	0.00253254	0.0129893	
0.00442805	0.00585846	0.00420792	0.00710249	
0.0118882	0.0218108	0.00193013	0.00530351	
0.0151115	0.0188917	0.0131676	0.00838606	
0.0124231	0.0322524	0.00705381	0.00523606	
0.00427199	0.00863407	0.00390921	0.00397627	
0.00640294	0.00480715	0.00934538	0.0107512	
0.00754269	0.00329807	0.0124836	0.00301133	
0.00595797	0.0125443	0.00500174	0.00343891	
0.0101105	0.00844483	0.00505165	0.00293917	
0.018215	0.00173627	0.00271742	0.00437485	
0.00776305	0.00654227	0.0109571	0.0107001	
0.0034052	0.00141879	0.00237439	0.00669488	
0.0127781	0.00617561	0.0089811	0.0131023	
0.0236805	0.0072347	0.0188398	0.0140769	
0.0514194	0.0686158	0.0201837	0.0230356	
0.0206692	0.0437654	0.0055165	0.00712881	
0.0160537	0.0386793	0.0257165	0.0142044	
0.401863	0.288164	0.268608	0.341898	
0.0133893	0.00934724	0.0281003	0.00758177	
0.00803616	0.00783811	0.0202122	0.0118543	
0.0468513	0.00682585	0.020149	0.0236604	
0.00823286	0.0109412	0.0243557	0.0173377	
0.0116713	0.00702835	0.00983187	0.0131433	
0.00944732	0.0119783	0.0151889	0.0266878	
0.00762945	0.0103979	0.0480212	0.0183803	
0.0304974	0.0206315	0.0301216	0.0098852	
0.028225	0.023138	0.0113839	0.0154874	
0.00818516	0.0146913	0.00263434	0.00900809	
0.00346197	0.00776256	0.0144972	0.00995831	
0.00793952	0.0055831	0.003914	0.0130588	
0.00581481	0.019871	0.00993486	0.0214178	
0.00744568	0.0051069	0.0139531	0.0290243	
0.00468106	0.00546926	0.00890481	0.00453267	
0.0332216	0.0421411	0.0118916	0.00489661	
0.00373815	0.010286	0.0196214	0.0115134	
0.0140777	0.0146054	0.015094	0.0155201	
0.0075008	0.015085	0.00902129	0.00347742	
0.0119669	0.00852782	0.00964009	0.017888	
0.023264	0.00903791	0.0217026	0.00237746	
0.0112357	0.0218932	0.00873239	0.00941307	
0.0237539	0.0105928	0.00645421	0.0338614	
0.0130117	0.026996	0.0217871	0.0437417	
0.00302863	0.00883274	0.00696046	0.0521371	
0.00510558	0.00326919	0.0295306	0.00487314	
0.014342	0.00396866	0.00340469	0.0026795	
0.00239904	0.0412708	0.0037785	0.014652	
0.0130672	0.00349103	0.00306673	0.0086497	
0.013866	0.00318656	0.0169768	0.00529845	
0.0185717	0.0259046	0.0042632	0.0144808	
0.00706262	0.0174335	0.0231011	0.00430019	
0.0156619	0.0100087	0.0178463	0.00576045	
0.00344618	0.00346058	0.0196403	0.00439772	
0.0341532	0.0144369	0.0207314	0.00843771	
0.0598184	0.0214309	0.0234388	0.005277	
0.00460743	0.00536988	0.00533423	0.0297503	
0.0176266	0.0192403	0.00756113	0.00369728	
0.00737471	0.00733558	0.00377336	0.00437131	
0.010687	0.00588858	0.00809322	0.00475378	
0.0120207	0.00839432	0.0159458	0.00752773	
0.00990049	0.00664541	0.00754509	0.00575003	
0.0294966	0.0110788	0.0426299	0.0270912	
0.00942197	0.0104948	0.00434223	0.00401072	
0.281547	0.400507	0.340092	0.265998	
0.0209303	0.0129726	0.00581617	0.0043754	
0.0340823	0.00669966	0.00781237	0.0200509	
0.0141687	0.00369203	0.00285521	0.00351687	
0.00544934	0.00356244	0.00692091	0.00401545	
0.0120747	0.0140926	0.00473614	0.00445134	
0.0210278	0.0126928	0.00755412	0.0189188	
0.00646411	0.0119596	0.00466976	0.0214879	
0.0107833	0.00382788	0.0038998	0.0320656	
0.0062004	0.0111123	0.0112524	0.0144724	
0.00170015	0.0103927	0.0136461	0.0086903	
0.00501756	0.00171102	0.00467355	0.00560323	
0.0103193	0.00680107	0.00700189	0.00432149	
0.0146243	0.0126999	0.0122737	0.0356495	
0.00490516	0.00732344	0.00592264	0.00582461	
0.0187346	0.00898535	0.00418751	0.00997432	
0.00793777	0.00491082	0.0213473	0.0281608	
0.0107068	0.0242986	0.013247	0.0130363	
0.00512163	0.00756606	0.00435325	0.00760139	
0.0135127	0.0100067	0.0113796	0.025855	
0.00548882	0.00757178	0.00743199	0.00944246	
0.010081	0.0152154	0.00556956	0.00852991	
0.0106752	0.00538798	0.00942546	0.00519806	
0.00257487	0.00708724	0.00492351	0.0114403	
0.00755665	0.0072218	0.00737797	0.00432886	
0.00335737	0.00389246	0.00979195	0.00675039	
0.00846471	0.0125566	0.00526776	0.00276349	
0.0399885	0.0230344	0.00639605	0.00542549	
0.40396	0.451296	0.420365	0.399442	
N/A	N/A	N/A	N/A	
0.00439096	0.0122989	0.00378642	0.0195448	
0.00450268	0.00464333	0.0133546	0.00990102	
0.00351021	0.0137957	0.0109681	0.00662085	
N/A	N/A	N/A	N/A	
0.0055026	0.0050684	0.00982716	0.00578114	
0.00474016	0.00453096	0.00817587	0.00389285	
0.00541431	0.0057813	0.00601919	0.0160225	
0.00760234	0.0082774	0.0068778	0.00998477	
0.01288	0.00599292	0.0129942	0.012798	
0.0036479	0.00977091	0.00820221	0.00977101	
0.00812899	0.0120683	0.00819063	0.0137141	
0.0240267	0.0119963	0.00877004	0.00767066	
0.256834	0.421178	0.405432	0.379673	
0.0197705	0.0185039	0.00221147	0.00901048	
0.0263209	0.010573	0.00520922	0.0135063	
0.020953	0.0218727	0.0114365	0.0072881	
0.00583871	0.0148347	0.0165526	0.0093834	
0.0159845	0.0113206	0.0343964	0.00365213	
0.0234148	0.0104741	0.0107528	0.0135301	
0.0121078	0.0120689	0.0106808	0.0168319	
0.00140579	0.0112366	0.0178676	0.0187443	
0.0027457	0.00338886	0.00261401	0.00588804	
0.0146344	0.00941137	0.016047	0.0111432	
0.0182424	0.0222586	0.0111275	0.0120953	
0.0051339	0.0148046	0.00907572	0.028288	
0.0037998	0.00342662	0.00582341	0.00235221	
0.00222214	0.00558611	0.00271721	0.0115588	
0.00848651	0.00593295	0.0239674	0.0100699	
0.00497691	0.00537951	0.0154695	0.00724671	
0.00826432	0.0168023	0.00411391	0.0234283	
0.0274169	0.00877145	0.0258964	0.019255	
0.00992174	0.0388136	0.0071613	0.011296	
0.00368328	0.00509793	0.00644877	0.00414461	
0.00475324	0.00412984	0.00170327	0.00599304	
0.00669997	0.0169411	0.0285567	0.0352248	
0.0143327	0.00853127	0.00921293	0.00514668	
0.00479163	0.0142737	0.00513795	0.0182521	
0.00585785	0.00817312	0.00413914	0.00359664	
0.0154625	0.00606311	0.0104705	0.00659804	
0.00652032	0.00392467	0.0106886	0.00962004	
0.00683306	0.00630677	0.014016	0.0225056	
0.0170845	0.00493426	0.0150484	0.0129468	
0.0114747	0.00181452	0.0167399	0.00680974	
0.451664	0.404964	0.465821	0.442277	
0.00689076	0.0206802	0.0186514	0.013837	
