leaf1	leaf2	leaf3	leaf4
0.573353	0.382636	0.19216	0.664502	
0.558923	0.83646	0.915344	0.468735	
0.200818	0.695286	0.378307	0.900192	
0.530544	0.417268	0.297499	0.0392015	
0.0238095	0.162819	0.649591	0.438913	
0.136845	0.338865	0.249639	0.0709476	
0.611592	0.0962001	0.930736	0.140452	
0.127225	0.635402	0.579846	0.522367	
0.489177	0.593795	0.597162	0.823954	
0.019721	0.32684	0.248196	0.567581	
0.0194805	0.407888	0.0913901	0.826359	
0.132035	0.164743	0.666186	0.233526	
0.364117	0.555796	0.90885	0.203223	
0.234247	0.00577201	0.292448	0.356421	
0	0	0	0	
0.222703	0.693362	0.232083	0.191198	
0.446368	0.662097	0.189033	0.31746	
0.100529	0.550265	0.047619	0.532708	
0.318422	0.0690236	0.875902	0.621693	
0.252285	0.278018	0.425204	0.196248	
0.634199	0.911015	0.366763	0.215488	
0.667388	0.519481	0.838865	0.245551	
0.26936	0.019721	0.165945	0.0348725	
0.250842	0.53824	0.445887	0.454786	
0.233285	0.113516	0.68278	0.729437	
0.0002405	0.0002405	0.0820106	0.178692	
0.0947571	0.013949	0.719817	0.211159	
0.126984	0.416065	0.149832	0.850649	
0.605339	0.0396825	0.102453	0.136364	
0.259019	0.421356	0.595238	0.662097	
0.912217	0.034632	0.674603	0.0945166	
0.966089	0.485089	0.543531	0.542328	
0.950938	0.787638	0.303752	0.409091	
0.0620491	0.603415	0.27874	0.0747956	
0.699134	0.145743	0.0319865	0.164502	
0.573834	0.0747956	0.133959	0.416306	
0.017316	0.023569	0.670515	0.261183	
0.25493	0.0127465	0.275854	0.608466	
0.356902	0.300144	0.0238095	0.223665	
0.000962001	0.0012025	0.302549	0.27874	
0.035594	0.369889	0.3076	0.887927	
0.295575	0.388889	0.119529	0.136845	
0.51924	0.118567	0.122896	0.986772	
0.375421	0.00481	0.538961	0.34632	
0.263107	0.332371	0.564935	0.974266	
0.0651756	0.816979	0.488696	0.0454545	
0.64911	0.124579	0.0560366	0.247956	
0.0873016	0.337181	0.285714	0.568062	
0.54786	0.369889	0.215969	0.36051	
0.556518	0.015392	0.290524	0.287157	
0.0002405	0.0464165	0	0.526455	
0.532708	0.0031265	0.0740741	0.184464	
0.436748	0.800866	0.465608	0.353776	
0.0334295	0.212602	0.011063	0.0858586	
0.908129	0.018759	0.0170755	0.421837	
0.538721	0.0454545	0.0113035	0.0779221	
0.0189995	0.858826	0.547379	0.501684	
0.545214	0.34632	0.211159	0.236652	
0.0512266	0.759981	0.111352	0.80279	
0.500481	0.785474	0.20659	0.693603	
0.900673	0.669553	0.965849	0.432179	
0.442039	0.470418	0.373978	0.145022	
0	0	0	0	
0.64887	0.727273	0.866763	0.667629	
0.128187	0.977393	0.512506	0.026455	
0.495671	0.144781	0.475469	0.27417	
0.794372	0.024531	0.298461	0.338384	
0.405964	0.10582	0.934584	0.231121	
0.253487	0.0649351	0.625541	0.515392	
0.443963	0.0329485	0.779461	0.740981	
0.296777	0.013949	0.829004	0.609187	
0.826118	0.165945	0.861712	0.229437	
0.0649351	0.46657	0.00481	0.0781626	
0.0981241	0.657047	0.803271	0.36556	
0.012987	0.747234	0.262867	0.044252	
0.417027	0.535594	0.706349	0.717172	
0.219577	0.146224	0.800866	0.218374	
0.280904	0.002405	0.0591631	0.189514	
0.507215	0.629389	0.148629	0.04329	
0.75493	0.481481	0.204185	0.9038	
0.124098	0.640212	0.0848966	0.457672	
0.68278	0.853535	0.568062	0.549062	
0.290765	0.97138	0.982684	0.248196	
0.211159	0.476671	0.0430495	0.040885	
0.243867	0.474266	0.205147	0.426407	
0.234007	0.560125	0.550746	0.21164	
0.156085	0.0416065	0.2595	0.0567581	
0	0	0	0	
0.04329	0.0295815	0.00986051	0.664502	
