leaf1	leaf2	leaf3	leaf4
0.0323713	0.0104377	0.00636123	0.0436628	
0.012037	0.0232083	0.010077	0.037987	
0.0460678	0.0462482	0.00863396	0.0432299	
0.0036556	0.0138167	0.00782828	0.0275493	
0.00256133	0.00761183	0.00621693	0.039887	
0.041811	0.0390332	0.039442	0.004329	
0.010101	0.00911496	0.0309524	0.0455387	
0.0311448	0.0319264	0.0450577	0.0433742	
0.0208153	0.0373136	0.0292208	0.0420635	
0.017797	0.0280063	0.0118807	0.0308442	
0.0230279	0.0343074	0.0310606	0.0380471	
0.00438913	0.020683	0.00265753	0.00518278	
0.0243867	0.022138	0.0430976	0.0446128	
0.00026455	0.000252525	0.00156325	0.00150313	
0.00779221	0.0164141	0.0376142	0.0433141	
0.00361953	0.0340909	0.0300625	0.00850168	
0.0142256	0.0454906	0.0477874	0.0460197	
0.0382997	0.0458995	0.0333454	0.0446008	
0.0176768	0.0144661	0.041835	0.0430495	
0.00773208	0.0169553	0.0310125	0.00937951	
0.0344517	0.0186989	0.0420755	0.00747956	
0.0205267	0.0451299	0.0446128	0.0039442	
0.0356061	0.0205267	0.0198292	0.0138648	
0.0496152	0.0223545	0.0147306	0.0268398	
0.0402958	0.0494589	0.0420635	0.0385522	
0.0216811	0.0336821	0.0330207	0.0436027	
0.0135041	0.0169312	0.0174603	0.0034632	
0.0407287	0.0319745	0.0372415	0.0376744	
0.00924723	0.025974	0.0436989	0.023064	
0.028836	0.040885	0.00735931	0.00484608	
0.0207672	0.00604858	0.0152116	0.0163059	
0.0397667	0.0308923	0.0430856	0.0305075	
0.0151515	0.0231842	0.0196128	0.00557961	
0.0381433	0.0308562	0.0314695	0.0244468	
0.0225709	0.0126864	0.0385041	0.0272727	
0.0208634	0.038937	0.0252525	0.0403439	
0.0481361	0.0327802	0.0410774	0.0196489	
0.030267	0.0323473	0.031746	0.0435666	
0.0463564	0.0449014	0.0241101	0.0340188	
0.0270202	0.0173521	0.0396825	0.0481602	
0.0029341	0.00662578	0.0353896	0.0391895	
0.0018278	0.00107023	0.00109428	0.00117845	
N/A	N/A	N/A	N/A	
0.0427128	0.0179413	0.0450096	0.00893458	
0.0422559	0.0419192	0.0151395	0.0232924	
0.0459476	0.0148389	0.0205387	0.0345839	
N/A	N/A	N/A	N/A	
0.0380832	0.040368	0.0239779	0.0378668	
0.0413901	0.0423401	0.0289322	0.0449976	
0.038456	0.0376984	0.0368446	0.0121092	
0.0300625	0.0284151	0.0334656	0.0230159	
0.0161736	0.0368206	0.0157167	0.016823	
0.0455628	0.0237734	0.0288721	0.0236772	
0.0280784	0.0183742	0.0289081	0.0150192	
0.00620491	0.0186147	0.0270683	0.0302549	
0.00179173	0.000228475	0.000493025	0.00113035	
0.00844156	0.00962001	0.0491462	0.0258177	
0.00520683	0.0219336	0.039923	0.0153439	
0.00776816	0.00726311	0.0194444	0.0318663	
0.0368687	0.0132516	0.0113877	0.0246152	
0.0116883	0.0200697	0.00353535	0.045683	
0.00646946	0.0222102	0.0210798	0.0152597	
0.0176647	0.0183622	0.0212843	0.0110871	
0.0497956	0.0202621	0.0100529	0.00954786	
0.0478235	0.0464526	0.0484007	0.0374579	
0.013468	0.0247234	0.0117725	0.0203102	
0.00966811	0.00705868	0.0201058	0.0179654	
0.0397186	0.0133237	0.0261905	0.00482203	
0.0450457	0.0463203	0.0375661	0.0488817	
0.0489177	0.0382997	0.0481602	0.0193723	
0.0268759	0.0370491	0.00597643	0.0228355	
0.040392	0.0389971	0.012494	0.0320467	
0.0275253	0.0109428	0.0439514	0.00656566	
0.00482203	0.0267436	0.00538721	0.00907888	
0.0229437	0.0030303	0.0324194	0.0199735	
0.0454786	0.0402357	0.0352092	0.0441799	
0.04133	0.0440236	0.0496633	0.0371092	
0.0335137	0.0107985	0.00464165	0.0035113	
0.0139971	0.0274772	0.0258418	0.0406445	
0.0411857	0.0141414	0.0401996	0.00992063	
0.0368326	0.0287638	0.0438552	0.0458874	
0.0123497	0.0364959	0.0219216	0.0347282	
0.0342713	0.044721	0.0212722	0.0239779	
0.0330928	0.0355339	0.0142136	0.00692641	
0.0105219	0.0408369	0.0130712	0.0165103	
0.0188913	0.0493747	0.0110871	0.0337903	
0.0002886	0.00198413	0.00183983	0.00104618	
0.0328764	0.00815296	0.00947571	0.0148389	
0.0122775	0.00595238	0.0197451	0.04038	
0.0132516	0.0147787	0.03848	0.0143819	
N/A	N/A	N/A	N/A	
0.0474868	0.0409211	0.028836	0.0124339	
0.0466089	0.047138	0.0128427	0.0386604	
0.0263468	0.0411857	0.0270082	0.0487494	
N/A	N/A	N/A	N/A	
0.00763588	0.0450577	0.0295094	0.0335859	
0.0179413	0.0410534	0.018266	0.044252	
0.0416667	0.0224627	0.0150072	0.0494829	
0.026924	0.0145382	0.0187831	0.0276936	
N/A	N/A	N/A	N/A	
0.01538	0.0364839	0.0252165	0.0158249	
0.049543	0.0438913	0.0465849	0.0397066	
0.0109428	0.0446489	0.00770803	0.0434103	
0.00618086	0.0434343	0.0193482	0.026443	
0.036039	0.0198653	0.0388528	0.0448413	
0.0318302	0.0158009	0.0301708	0.0300265	
0.000481	0.000577201	0.000793651	0.00185185	
0.00460558	0.0395142	0.016366	0.0223064	
0.0118927	0.00833333	0.0360149	0.00782828	
0.0127946	0.00253728	0.0279221	0.0203583	
0.0177369	0.0474146	0.0401876	0.0432059	
0.0464767	0.0470899	0.0411376	0.0476671	
0.0250361	0.0300024	0.00531506	0.0422078	
0.0202621	0.0282227	0.00978836	0.00745551	
0.0406325	0.0241582	0.0316258	0.0150072	
0.016847	0.0130471	0.0297258	0.0341631	
0.0208874	0.0240981	0.00966811	0.0382275	
0.0234007	0.0499158	0.0471861	0.0497595	
0.00420875	0.0431578	0.0255051	0.0150794	
0.0439033	0.0488937	0.0318302	0.0201419	
0.0229197	0.0350289	0.0246272	0.0407047	
0.0377946	0.00937951	0.0323954	0.00266955	
0.0180375	0.0113155	0.0342953	0.0155604	
0.00478595	0.0138889	0.0282227	0.0107383	
0.0367244	0.0396585	0.0186267	0.0159211	
0.0026936	0.0438793	0.0398629	0.0199615	
0.0202261	0.0357624	0.0447451	0.0406926	
0.0375421	0.0137566	0.00478595	0.0252525	
0.0212722	0.0171356	0.0035594	0.0154882	
0.0425445	0.00543531	0.00276575	0.0170394	
0.0417027	0.0484247	0.0343434	0.0178331	
0.0241222	0.0329606	0.0162217	0.045214	
0.0209476	0.0376142	0.0115079	0.0291607	
0.0149832	0.0354016	0.00812891	0.00634921	
0.0176166	0.00774411	0.00874218	0.0378547	
N/A	N/A	N/A	N/A	
0.0193482	0.0116162	0.00425685	0.00652958	
0.0415103	0.0385762	0.0161255	0.0185666	
0.037506	0.0406806	0.0470779	0.0167629	
0.0346441	0.0308442	0.0333093	0.0394901	
0.0399351	0.0296657	0.0286316	0.0327802	
0.0402237	0.0125782	0.0263468	0.0286436	
0.000553151	8.41751e-05	0.000108225	0.0013468	
0.0217172	0.0150313	0.0116402	0.01057	
0.0286195	0.0485329	0.0252766	0.00883838	
0.0416065	0.0192761	0.0181938	0.00622896	
0.0375301	0.0259019	0.0249038	0.00970418	
0.00898268	0.0288119	0.0376984	0.0224146	
N/A	N/A	N/A	N/A	
0.00518278	0.00527898	0.0415224	0.00864598	
